"study_id","first_author","year","journal","country","doi","study_design","sample_size","mean_age","exposure_category","exposure_variable","exposure_type","clock_type","EAA_metric","effect_type","effect_value","CI_lower","CI_upper","SE","p_value","adjusted_model","covariates","conversion_method","yi","sei"
"s13148-024-01803-x","Noble","2025","Clinical Epigenetics","UK","10.1186/s13148-024-01803-x","case-control","264.0","","disease status","IgG4-related cholangitis (IgG4-SC), primary sclerosing cholangitis (PSC), ulcerative colitis (UC), healthy controls","disease","Horvath's epigenetic clock","epigenetic age acceleration (observed methylation age minus expected methylation age)","mean difference in epigenetic age acceleration","","","","","0.0001","linear regression with chronological age; covariates included age, sex, and first principal component of deconvoluted cellular proportions","age, sex, first principal component of deconvoluted cellular proportions","wateRmelon package for methylation age prediction; linear regression for expected methylation age","",""
"Bernabeu_2025","Bernabeu","2025","Clinical Epigenetics","Scotland, UK","10.1186/s13148-025-01818-y","Cohort study with epigenome-wide association study (EWAS)","16717.0","47.5","Alcohol consumption","Self-reported weekly alcohol units (log(x+1) transformed) and blood-based DNA methylation EpiScore","Behavioral (self-report) and molecular (DNA methylation-based EpiScore)","","Alcohol consumption EpiScore derived from elastic net regression on CpGs","Incremental R2 and Pearson correlation (r) between EpiScore and self-reported alcohol consumption","0.28","","","","0.001","Linear regression models adjusted for age and sex","Age, sex","Log(x+1) transformation of alcohol units","0.28",""
"s13148-025-01827-x","Daredia","2025","Clinical Epigenetics","USA","10.1186/s13148-025-01827-x","cross-sectional","658.0","66.1","Reproductive aging","Age at menopause","continuous (years)","GrimAge","epigenetic age deviation (residuals from regression of chronological age on epigenetic age)","regression coefficient (B)","-0.1","-0.19","-0.02","","0.001","Adjusted for chronological age (continuous), chronological age squared, and self-identified race/ethnicity","BMI, smoking status, alcohol intake, and estimated cell-type proportions considered in sensitivity analyses; adjustment attenuated associations","","-0.1",""
"s13148-025-01837-9","Wu","2025","Clinical Epigenetics","China","10.1186/s13148-025-01837-9","observational with in vitro experimental components","72.0","0.0","antenatal corticosteroid exposure; glucocorticoid treatment","antenatal corticosteroid exposure in preterm neonates; cortisol and relacorilant treatment in IMR90 cells; dexamethasone treatment in HPC cells","pharmacological","multi-tissue predictor (Horvath epigenetic clock)","DNAm age acceleration (difference between DNAm age and chronological age)","mean difference in DNAm age","0.115","0.03","0.199","","0.009","adjusted for antenatal magnesium sulfate exposure in methylation analyses","antenatal magnesium sulfate exposure, maternal chorioamnionitis, late-onset sepsis","k-Nearest Neighbor imputation and BMIQ normalization for methylation data","0.115",""
"s13148-025-01846-8","Lopez-Pleguezuelos","2025","Clinical Epigenetics","Spain","10.1186/s13148-025-01846-8","case-control within prospective cohort","105.0","70.9","Radiation therapy","Radiation therapy-induced toxicity (grade ≥ 2 genitourinary and/or gastrointestinal late toxicity)","Treatment exposure","Horvath's epigenetic clock","Age acceleration (difference between predicted methylation age and chronological age)","Mean difference in age acceleration between cases and controls","0.4","","","","0.57","Adjusted for age and cell type proportions","Age, cell type composition (B-cells, NK-cells, CD4T, CD8T, Monocytes, Neutrophils, Eosinophils)","Beta-mixture quantile normalization; ComBat for batch effect correction","0.4",""
"s40520-025-02964-2","Fei Shan","2025","Aging Clinical and Experimental Research","United States","10.1007/s40520-025-02964-2","cross-sectional","3376.0","46.0","serum polyunsaturated fatty acids (PUFAs)","total n-6 PUFAs; linoleic acid (LA); gamma-linolenic acid (GLA); arachidonic acid (AA); total n-3 PUFAs; alpha-linolenic acid (ALA); stearidonic acid (SDA); eicosapentaenoic acid (EPA); docosapentaenoic acid (n-3 DPA); docosahexaenoic acid (DHA)","continuous (per SD increment) and tertiles","PhenoAge","PhenoAge Acceleration (PhenoAgeAccel)","beta coefficient (linear regression)","-0.5083","-0.785","-0.2316","","0.001","Model 3: adjusted for age, sex, race/ethnicity, education, poverty income ratio, body mass index, smoking status, diabetes, hypertension, cardiovascular disease, cancer","age, sex, race/ethnicity, education level, poverty-to-income ratio, body mass index, smoking status, diabetes mellitus, hypertension, cardiovascular disease, cancer","PhenoAgeAccel calculated as residuals from regressing chronological age on biological age using linear regression","-0.5083",""
"s41398-025-03235-4","Mareckova","2025","Translational Psychiatry","Czech Republic","10.1038/s41398-025-03235-4","cohort study","99.0","26.6","mtDNA variants","Functional Impact (FI) score of 7 potentially pathogenic mtDNA variants","genetic","Horvath's epigenetic clock; Klemera-Doubal Method (KDM) biological age","epigenetic age gap (EpiAGE) residuals; biological age minus chronological age","beta coefficient","0.27","","","","0.02","adjusted for sex, current BMI, cigarette smoking, cannabis use, alcohol use","sex, BMI, cigarette smoking, cannabis use, alcohol use","","0.27",""
"s41398-025-03596-w","Reni Merta Kusuma","2025","Translational Psychiatry","Taiwan","10.1038/s41398-025-03596-w","cross-sectional","96.0","51.02","biological factors; DNA methylation","BMI; DNA methylation at IL6R_cg09257526","modifiable determinant (BMI); epigenetic marker (DNA methylation)","","","adjusted odds ratio","0.32","0.117","0.876","","0.027","conditional logistic regression adjusted for physical illness and methylation levels at IL15RA_cg08676905, IL6R_cg09257526, FTL_cg04385818, and ZNF614_cg09503196","physical illness, methylation levels at IL15RA_cg08676905, IL6R_cg09257526, FTL_cg04385818, ZNF614_cg09503196","z-score standardization for numerical variables","-1.139434283",""
"s41421-025-00769-1","Yuqing Zhang","2025","Cell Discovery","China","10.1038/s41421-025-00769-1","cohort and animal experimental study","1683.0","5.0","maternal hyperandrogenism","maternal hyperandrogenism status (clinical diagnosis)","prenatal hormonal exposure","","","mean difference in HOMA-β","8.364","","","","0.05","comparison between sons born to mothers with and without hyperandrogenism; age range 2-12 years","not explicitly reported","","8.364",""
"s41467-025-66106-y","Mavrommatis","2025","Nature Communications","Scotland, UK","10.1038/s41467-025-66106-y","prospective cohort","18859.0","","epigenetic age acceleration","14 epigenetic clocks including first-, second-, and third-generation clocks (e.g., Hannum, Horvath, PhenoAge, GrimAge v1 and v2, DunedinPACE, DunedinPoAm38, Zhang10, DNAm telomere length, YingCausAge, YingDamAge, YingAdaptAge, Lin)","DNA methylation-based epigenetic clocks","first, second, and third generation epigenetic clocks","age acceleration residuals (clock residuals regressed on chronological age and estimated cell proportions)","hazard ratio per standard deviation increase in epigenetic age acceleration","1.54","1.46","1.62","","7.1e-62","fully adjusted Cox proportional hazards model controlling for age, sex, BMI, smoking pack years, alcohol consumption, education, socioeconomic deprivation, and estimated cell proportions; family structure controlled via random effect","age, sex, BMI, smoking pack years, alcohol intake, education, Scottish Index of Multiple Deprivation (SIMD), estimated blood cell proportions (excluding basophils), family relatedness (random effect)","age acceleration calculated as residuals from linear mixed model regressing clock on age and cell proportions; Cox regression for incident disease and mortality outcomes","0.432",""
"s41467-025-67622-7","Jiang Li","2026","Nature Communications","UK, US","10.1038/s41467-025-67622-7","prospective cohort","266029.0","56.1","social determinants of health (SDHs)","combined SDH score (favorable, medium, unfavorable groups)","categorical and continuous SDH score","Klemera–Doubal biological age (KDM-BA); phenotypic age","KDM-BA acceleration; phenotypic age acceleration","beta coefficient (years increase in biological age acceleration per 1-point SDH increment)","0.22","0.21","0.23","","0.001","Model 2: adjusted for age, sex, BMI, smoking status, alcohol drinking, diet, physical activity, cardiovascular disease, cancer, diabetes, high cholesterol, hypertension, respiratory disease, and medication for cholesterol-lowering, anti-hypertensive, or anti-diabetes","age, sex, BMI, smoking status, alcohol drinking, diet, physical activity, cardiovascular disease, cancer, diabetes, high cholesterol, hypertension, respiratory disease, medication use","","0.22",""
"s41538-025-00625-2","Xinming Xu","2025","npj Science of Food","USA","10.1038/s41538-025-00625-2","Cross-sectional and survival analysis using NHANES data","34330.0","46.7","Dietary patterns","Healthy Eating Index-2020 (HEI2020), Alternate Healthy Eating Index (AHEI), Dietary Approaches to Stop Hypertension (DASH), Alternate Mediterranean Diet Score (aMED), Dietary Inflammatory Index (DII)","Diet quality scores","GrimAge2, DunedinPoAm, PhenoAge and organ-specific phenotypic ages (CardiovascularAge, KidneyAge, LiverAge, MuscleAge)","Acceleration of epigenetic and phenotypic ages","Beta coefficient (years change in age acceleration per interquintile increase in diet score)","-1.85","-2.83","-0.87","","0.001","Model 2: adjusted for age, sex, ethnicity, education, poverty-income ratio, smoking status, physical activity, body mass index, diabetes, hypertension, cardiovascular disease, cancer, and average calories","Age, sex, ethnicity, education, poverty-income ratio, smoking status, physical activity, BMI, diabetes, hypertension, cardiovascular disease, cancer, average calories","","-1.85",""
"s41598-024-82747-3","Egorov","2025","Scientific Reports","USA","10.1038/s41598-024-82747-3","cross-sectional observational","116.0","57.7","residential greenness","distance-to-residence weighted tree cover, vegetated land cover, NDVI within 500 m buffer","environmental","Hannum, Horvath, Levine PhenoAge, Li","residuals from linear regression of epigenetic age on chronological age","change in EAA (years) per interquartile range increase in greenness","-1.6","-2.6","-0.6","","0.002","adjusted for race (white vs nonwhite), sex, waist-to-hip ratio, height, smoking status, white blood cell fractions, and two-dimensional spline of geographic coordinates","race, sex, waist-to-hip ratio, height, smoking status, WBC types (CD4+ T cells, CD8+ T cells, granulocytes, monocytes), spatial spline","","-1.6",""
"s41598-024-84957-1","Wen Zhao","2025","Scientific Reports","Europe","10.1038/s41598-024-84957-1","Two-sample Mendelian randomization","1341110.0","","Sleep traits","Self-reported insomnia; accelerometer-measured sleep efficiency; number of sleep episodes","Genetic instrumental variables from GWAS","GrimAge; HannumAge; IEAA","Epigenetic age acceleration","Odds ratio","1.17","1.04","1.31","","0.007","Adjusted for age, sex, principal components of ancestry, genotyping array, and study-specific variables","Age, sex, 10 principal components of ancestry, genotyping array, genetic correlation matrix, study center, season when activity-monitor worn","Log odds ratio converted from MR inverse variance weighted estimates","0.157",""
"s41598-025-25784-w","Pérez","2025","Scientific Reports","Spain","10.1038/s41598-025-25784-w","observational cohort","74.0","23.6","physical activity","elite soccer player status; injury risk cluster (high vs low); sex","behavioral/biological","Horvath; Hannum; PhenoAge; DNAmTL; Zhang EN; Zhang BLUP; GrimAge; GrimAge2","residuals of epigenetic age regressed on chronological age","difference in epigenetic age acceleration by sex and injury cluster","","","","","","linear models adjusted for sex; additional adjustment for collection date in sensitivity analyses","sex, collection date (in sensitivity analyses), playing position, inferred regional ancestry (no significant confounding)","EAA calculated as residuals from linear regression of epigenetic age on chronological age","",""
"s41598-025-25877-6","Chen","2025","Scientific Reports","USA","10.1038/s41598-025-25877-6","Cross-sectional study","23932.0","49.67","Metabolic biomarker ratio","Uric acid to high-density lipoprotein cholesterol ratio (UHR)","Continuous and tertiles","Phenotypic Age (PhenoAge); Klemera–Doubal Method (KDM) biological age","Phenotypic Age Acceleration (PhAA); KDM Age Acceleration (KDM-AA)","Standardized beta coefficient","1","0.94","1.06","","0.001","Model 3: adjusted for age, sex, race, education level, alcohol consumption, smoking status, cardiovascular disease, hypertension, diabetes, cancer, and physical activity","Age, sex, race, education level, alcohol consumption, smoking status, cardiovascular disease, hypertension, diabetes, cancer, physical activity","Standardized UHR (mg/dL UA divided by mg/dL HDL, multiplied by 100)","1.0",""
"s42003-025-09227-w","Gerber","2025","Communications Biology","Australia","10.1038/s42003-025-09227-w","observational cohort study","38.0","","social factors","cumulative social bond strength; mean male group size","social connectivity metrics","species-specific epigenetic clock calibrated for Tursiops aduncus","epigenetic age (years)","regression coefficient (linear mixed-effects model)","-9.75","-17.25","-2.26","","0.012","adjusted for chronological age, year sampled, and dolphin ID (random effects)","chronological age, year sampled, dolphin ID (random effects)","leave-one-individual-out cross validation (LOIOCV) elastic net regression","-9.75",""
"sex_differences_in_the_association_between_fatty.58","Yang","2025","Medicine","USA","10.1097/MD.0000000000046152","cross-sectional","16479.0","46.0","Metabolic dysfunction-associated steatotic liver disease (MASLD)","Fatty liver index (FLI)","continuous and quartiles","Phenotypic age (PhenoAge)","PhenoAge acceleration (PhenoAgeAccel)","beta coefficient and odds ratio","2.96","2.73","3.18","","0.001","Model 3: adjusted for demographics, lifestyle behaviors, and clinical covariates","age, sex, race, education, marital status, poverty-income ratio, smoking status, drinking status, physical activity, hypertension, diabetes mellitus, cardiovascular disease, chronic kidney disease, cancer","","2.96",""
"srivatsa-et-al-2025","Srivatsa","2025","Journal of the American Heart Association","United States","10.1161/JAHA.125.044946","retrospective cohort study","1264.0","69.0","epigenetic aging","DNAm GrimAge and epigenetic age acceleration","biological age biomarker","GrimAge","age acceleration (residual of GrimAge on chronological age)","hazard ratio","1.05","1.02","1.08","","0.001","fully adjusted for demographics, behaviors, comorbidities, medications","age, sex, race and ethnicity, education, income, smoking status, BMI, blood pressure, antihypertensive and lipid-lowering medication use, diabetes status, total cholesterol, LDL cholesterol; HF models additionally adjusted for health insurance","","0.04879",""
"The-association-between-phenotypic-age-acceleration-and-the-risk-of-allcause-and-cancer-mortality-among-cancer-survivors-NHANES-19992018_2026_Nature-Research","Lei Luo","2026","Scientific Reports","United States","10.1038/s41598-025-30747-2","cohort study (secondary analysis of NHANES data 1999-2018)","34246.0","45.5","biological aging","PhenoAge acceleration (PhenoAgeAccel)","continuous (standardized residual of phenotypic age minus chronological age), also categorized in tertiles","Phenotypic Age (PhenoAge) clock","PhenoAgeAccel (standardized residual of PhenoAge minus chronological age)","hazard ratio (HR) for mortality; odds ratio (OR) for cancer prevalence","1.97","1.54","2.52","","0.001","Model 2: adjusted for age (continuous), MET (continuous), sex, ethnicity, education level, family poverty income ratio, drinking status, smoking status, BMI, self-reported diabetes, self-reported hypertension","age, MET, sex, ethnicity, education level, family poverty income ratio, drinking status, smoking status, BMI, self-reported diabetes, self-reported hypertension","","0.677",""
